"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c"
"AGBB 2070: Water Wise Landscape Design","AGBB 2070","AGBB 2070","OEE","","<p>Want to save money and conserve water? Discover six steps to landscape design, including why the process is important and water savings involved. This course will cover site analysis regarding how family values play into landscape design, what hydrozoning means for water savings and plant selection, and how to use rectilinear, curvilinear, and angular design styles. You'll finish the course with tips and tricks to mix lines, color, texture, and form with scale, balance, simplicity, variety, emphasis, and sequence to create unity and pizzazz in your designs.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Outline the six generic steps in the landscape design process and explain how the process is important to potential water savings and how the process applies to existing landscapes</li><li>Discuss opportunities and limitations as they relate to the analysis</li><li>Explain how the story line defines the landscape around family values, needs, and wants</li><li>Describe hydrozoning and its role in potential water savings and plant selection</li><li>Describe lawn options related to design needs, property use, and water demand</li><li>Describe the use of rectilinear, curvilinear, and angular design styles</li><li>Describe how to refine a preliminary design for efficient irrigation efficiency</li><li>Describe the interplay of line, color, texture, and form with scale, balance, simplicity, variety, emphasis, and sequence to create unity in the design</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the course.</p>","AGBB-2070","Want to save money and conserve water? Discover six steps to landscape design, including why the process is important and water savings involved. This course will cover site analysis regarding how family values play into landscape design, what hydrozoning means for water savings and plant selection, and how to use rectilinear, curvilinear, and angular design styles."
"AGBB 2081: Small Fruits","AGBB 2081","AGBB 2081","OEE","","<p>This course offers an understanding of planting, pruning, and general care of raspberries, blackberries, strawberries, and grapes.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Describe the planting, pruning, and trellising of fall-bearing (primocane-fruiting) raspberries and summer-bearing (floricane-fruiting) raspberries</li><li>Detail the trellising and pruning of trailing, erect, and semi-erect type blackberries</li><li>Explain planting and renewal of June-bearing, ever-bearing, and day-neutral strawberry cultivars</li><li>Understand general care of raspberries, blackberries, strawberries, and grapes</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the course.</p>","AGBB-2081","This course offers an understanding of planting, pruning, and general care of raspberries, blackberries, strawberries, and grapes."
"AGBB 2082: Tree Fruits","AGBB 2082","AGBB 2082","OEE","","<p>Students who successfully complete this Trek Badge will be able to:</p><ul><li>Discuss considerations in planting fruit trees in the home landscape.</li><li>Describe structural training and annual pruning of dwarf, semi-dwarf, and standard size apples.</li><li>Describe structural training and annual pruning of peaches.</li></ul>","AGBB-2082","This course discusses critical considerations when planting fruit trees at home, including structural training and annual pruning of apple and peach trees. Then, explore recommendations to manage common pests and diseases."
"AGBB 2083: Vegetables","AGBB 2083","AGBB 2083","OEE","","<p>Craving delicious, home-grown vegetables? Take this course to learn foundational principles for planning a vegetable garden, including planting times, layout design, soil preparation and fertilization, routine care, and frost protection tips.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Describe considerations in garden layout and planting times</li><li>Describe block style layout in a raised bed garden design</li><li>Explain construction and management of a basic raised bed garden</li><li>Describe soil preparation and fertilization for the vegetable garden</li><li>Describe routine garden care including mulching, irrigation, and water conservation</li><li>Describe routine care for tomatoes</li><li>Describe routine care for growing other vegetables</li><li>Diagnose (identify and recommend management strategies for) common vegetable insects and diseases</li><li>Describe methods for frost protection and microclimate modification</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the course.</p>","AGBB-2083","Craving delicious, home-grown vegetables? Take this course to learn foundational principles for planning a vegetable garden, including planting times, layout design, soil preparation and fertilization, routine care, and frost protection tips."
"AGBB 2084: Summer 2022 Free Vegetables Course","AGBB 2084","AGBB 2084","OEE","","<p>Craving delicious, home-grown vegetables? Take this course to learn foundational principles for planning a vegetable garden, including planting times, layout design, soil preparation and fertilization, routine care, and frost protection tips.<br />Students who successfully complete this course will be able to:<br />• Describe considerations in garden layout and planting times<br />• Describe block style layout in a raised bed garden design<br />• Explain construction and management of a basic raised bed garden<br />• Describe soil amendment and fertilization for the vegetable garden<br />• Describe routine garden care including mulching, irrigation, and water conservation<br />• Describe routine care for tomatoes<br />• Describe routine care for growing other vegetables<br />• Diagnose (identify and recommend management strategies for) common vegetable insects and diseases<br />• Describe methods for frost protection and microclimate modification<br />Students receive access to the course for 1 year from the time of registration to complete the course. There is no instructor facilitation in this course.</p>","AGBB-2084","Students who successfully complete this Trek Badge will be able to: describe considerations in garden planning and planting times; describe soil preparation and fertilization for the vegetable garden; describe routine garden care including mulching, irrigation, and water conservation; describe frost protection and microclimate modification."
"AGBB 2090: Soils, Fertilizers, and Soil Amendments","AGBB 2090","AGBB 2090","OEE","","<p>This course covers key soil attributes, characteristics of typical landscape soils, considerations of soil amendments, fertilizer and mulch selection, and management of soil pH, iron chlorosis, and compaction. You will also learn about the relationship between soil texture, structure, and pore space, how to take a soil test, and more.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Describe characteristics of a typical landscape soil</li><li>Describe characteristics of the soil in your garden</li><li>Describe management practices effective in nurturing soil organisms</li><li>Describe the relationship between soil texture, structure, pore space, and tilth</li><li>Describe effective management practices for sandy and clayey soils</li><li>Describe effective management practices to prevent and reduce soil compaction</li><li>Describe considerations in selecting soil amendments</li><li>Describe considerations in selecting mulch</li><li>Describe management of soil pH and iron chlorosis</li><li>Describe management for soil drainage problems</li><li>Describe how to take a soil test and identify gardening problems that a soil test will/will not help diagnose</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the cour</p>","AGBB-2090","This course covers key soil attributes, characteristics of typical landscape soils, considerations of soil amendments, fertilizer and mulch selection, and management of soil pH, iron chlorosis, and compaction. You will also learn about the relationship between soil texture, structure, and pore space, how to take a soil test, and more."
"AGBB 2091: Certified Colorado Gardener -Colorado Gardening Foundations","AGBB 2091","AGBB 2091","OEE","","<p>Colorado gardening takes grit…. and knowledge of our unique soils, climates, and plants. This bundle of courses will cover how to deal with the many challenges to the Colorado gardener – everything from temperature whiplashes, low humidity, drying winds, critters, insects and pests, alkaline and clay soils and a specific course on tree planting and care. A brief introduction to native plants as a solution to many gardening challenges is also included. This course includes a bundle of 5 classes: <br />- Soils<br />- Entomology<br />- Tree Care &amp; Planting<br />- Colorado Gardening Challenges<br />- Irrigation<br />Students receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. You will have direct access to an instructor through email.</p><h3 class=""top"">Related Courses</h3><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Short Courses</span>:</strong></div><ul><li class=""x_elementToProof""><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2092.dot"">Grow Your Own Food</a></li><li class=""x_elementToProof""><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2093.dot"">Landscape Management Basics</a> </li><li class=""x_elementToProof""><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2094.dot"">Plant Diagnostics</a></li></ul><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Full Course</span>:</strong></div><ul><li class=""x_elementToProof""><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2098.dot"">Colorado Gardening</a> </li></ul>","AGBB-2091","This bundle of courses will cover how to deal with the many challenges to the Colorado gardener. A brief introduction to native plants as a solution to many gardening challenges is also included. This course includes a bundle of 5 classes: 
-	Soils
-	Entomology
-	Tree Care & Planting
-	Colorado Gardening Challenges
-	Irrigation"
"AGBB 2092: Certified Colorado Gardener -Grow Your Own Food","AGBB 2092","AGBB 2092","OEE","","<p>Whether you’re an avid food gardener or just getting started, this short course will provide the resources and science-based gardening information to explain how grow your own food. This type of gardening can be especially tricky in Colorado, with the many gardening challenges we face from short seasons to untimely weather conditions. Take the Grow Your Own Food short course to help understand how to promote soil health, plan your garden, work with insects, and grow your own produce. This course includes a bundle of 5 classes: <br />- Soils<br />- Vegetables<br />- Small Fruits<br />- Tree Fruits<br />- Entomology<br />Students receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. You will have direct access to an instructor through email.</p><h3 class=""top"">Related Courses</h3><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Short Courses</span>:<br /></strong><ul><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2091.dot"">Colorado Gardening Foundations</a></li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2093.dot"">Landscape Management Basics</a> </li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2094.dot"">Plant Diagnostics</a></li></ul><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Full Course</span>:</strong></div><ul><li class=""x_elementToProof""><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2098.dot"">Colorado Gardening</a> </li></ul><br /><br /></div>","AGBB-2092","Take the Grow Your Own Food short course to help understand how to promote soil health, plan your garden, work with insects, and grow your own produce. This course includes a bundle of 5 classes: 
-	Soils
-	Vegetables
-	Small Fruits
-	Tree Fruits
-	Entomology"
"AGBB 2093: Certified Colorado Gardener Landscape Management Basics","AGBB 2093","AGBB 2093","OEE","","<p>Green spaces play an important role in home and community planning. Key aspects of landscape basics include lawns, trees and water management all of which are covered in this short course plus our foundational soils class and our science-based weed management class which is central to landscape maintenance and health. Take the Landscape Management Basics short course to learn key tips on how to keep landscapes green, happy, and healthy. This course includes a bundle of 5 classes: <br />- Soils<br />- Lawn Care<br />- Weed Management<br />- Irrigation<br />- Tree Care &amp; Planting<br />Students receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. You will have direct access to an instructor through email.</p><h3 class=""top"">Related Courses</h3><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Short Courses</span>:<br /></strong><ul><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2091.dot"">Colorado Gardening Foundations</a></li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2092.dot"">Grow Your Own Food</a></li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2094.dot"">Plant Diagnostics</a></li></ul><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Full Course</span>:</strong></div><ul><li class=""x_elementToProof""><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2098.dot"">Colorado Gardening</a></li></ul> </div>","AGBB-2093","Green spaces play an important role in home and community planning. Key aspects of landscape basics include lawns, trees and water management all of which are covered in this short course plus our foundational soils class and our science-based weed management class which is central to landscape maintenance and health."
"AGBB 2094: Certified Colorado Gardener - Plant Diagnostics","AGBB 2094","AGBB 2094","OEE","","<p>Have you ever been walking around and seen a plant with an apparent problem and wondered why it looked like that, or perhaps what was wrong with a plant in your own garden or landscape? Take the Plant Diagnostics short course to explore basic plant physiology, common plant and pest issues and learn cultural practices to keep plants healthy. This course includes a bundle of 5 self-paced, online classes:</p><p>- Soils<br />- Botany<br />- Integrated Pest Management &amp; Plant Diagnosis<br />- Entomology<br />- Plant Pathology</p><p>Students receive access to the course for one year from the time of registration to complete the course. There is no live instructor facilitation in this course. The courses include a combination of readings, videos, activities and knowledge checks. Each course has CSU subject matter expert contact information for questions as you learn.</p><h3 class=""top"">Related Courses</h3><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Short Courses</span>:<br /></strong><ul><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2091.dot"">Colorado Gardening Foundations</a></li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2092.dot"">Grow Your Own Food</a></li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2093.dot"">Landscape Management Basics</a> </li></ul><div class=""x_elementToProof""><strong><span style=""text-decoration: underline;"">Full Course</span>:</strong></div><ul><li class=""x_elementToProof""><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2098.dot"">Colorado Gardening</a></li></ul></div>","AGBB-2094","Join us to learn the basics from our Colorado horticulture experts through our flexible Green School program. The online class content is up-to-date, engaging, self-paced and includes integrated readings, videos, activities and quizzes. Courses are science-based and specific to Colorado’s unique (and challenging!) climate, soil, environment, insects, wildlife, and plants."
"AGBB 2098: Certified Colorado Gardener - Green School","AGBB 2098","AGBB 2098","OEE","","<p>Join us to learn the basics of gardening in Colorado from our horticulture experts through our online and flexible Green School program. The online class content is up-to-date, engaging, self-paced and includes integrated readings, videos, activities, and quizzes. Courses are science-based and specific to Colorado’s unique (and challenging!) climate, soil, environment, insects, wildlife, and plants. Classes include:</p><ul><li>Soils &amp; amendments</li><li>Botany: how plants grow</li><li>Colorado gardening challenges</li><li>Entomology</li><li>Integrated pest management &amp; plant diagnosis</li><li>Plant pathology</li><li>Lawn care / turfgrass management</li><li>Weed management</li><li>Science of planting trees &amp; tree care</li><li>Vegetables</li><li>Fruit trees</li><li>Small fruits</li><li>Pruning</li><li>Irrigation</li></ul><p><strong>FAQ: CSU Green School</strong></p><p><strong>What’s the difference between your gardening training programs?</strong><br /><strong>Green School | Full Course:</strong> Our certifying full course includes in-depth Colorado specific horticulture training. This course includes a mix of online, self-paced classes, and optional weekly live reviews provided by CSU faculty, staff, and specialists. To obtain the certification, trainees must complete 8 online modules (including the online quiz for each module) and pass the comprehensive final (open-book, research encouraged) with a 70% or better.</p><p><strong>Green School | Short Courses:</strong> Our short courses are self-paced, online and include 5 classes grouped together by relevant topic areas including Colorado Gardening Foundations, Landscape Management Basics, Plant Diagnostics and Growing Food. There are no live weekly class reviews, but you do have direct email access to course instructors. A certificate of completion will be provided to participants upon request.</p><p><strong>Certified Gardener:</strong> The Certified Gardener program is your opportunity to learn basic gardening techniques for home and community gardeners. Classes are 100% self-paced with no assignments and no live classes. Information is relevant no matter where you live. This class is not Colorado specific. Learn more about the Certified Gardener program here: <a href=""https://www.online.colostate.edu/badges/certified-gardener/"">https://www.online.colostate.edu/badges/certified-gardener/</a></p><p><strong>How long can I access course materials online?</strong><br />You’ll have access to this Canvas site for one year from the time you enroll.</p><p>Full descriptions, syllabus and more available <a href=""http://CertifiedColoradoGardener.org"">here</a>.</p><h3 class=""top"">Related Courses</h3><div class=""x_elementToProof""><strong><strong><span style=""text-decoration: underline;"">Short Courses</span>:<br /></strong></strong><ul><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2091.dot"">Colorado Gardening Foundations</a></li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2092.dot"">Grow Your Own Food</a></li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2093.dot"">Landscape Management Basics</a> </li><li><a href=""https://www.online.colostate.edu/courses/AGBB/AGBB2094.dot"">Plant Diagnostics</a></li></ul></div>","AGBB-2098","Join us to learn the basics from our Colorado horticulture experts through our flexible Green School program. The online class content is up-to-date, engaging, self-paced and includes integrated readings, videos, activities and quizzes. Courses are science-based and specific to Colorado’s unique (and challenging!) climate, soil, environment, insects, wildlife, and plants."
"AGBB 2099: Colorado Master Gardener - Green School","AGBB 2099","AGBB 2099","OEE","","<p>Join us to learn the basics of gardening in Colorado from our horticulture experts through our online and flexible Green School program. The online class content is up-to-date, engaging, self-paced and includes integrated readings, videos, activities, and quizzes. Courses are science-based and specific to Colorado’s unique (and challenging!) climate, soil, environment, insects, wildlife, and plants. Classes include:</p><ul><li>Soils &amp; amendments</li><li>Botany: how plants grow</li><li>Colorado gardening challenges</li><li>Entomology</li><li>Integrated pest management &amp; plant diagnosis</li><li>Plant pathology</li><li>Lawn care / turfgrass management</li><li>Weed management</li><li>Science of planting trees &amp; tree care</li><li>Vegetables</li><li>Fruit trees</li><li>Small fruits</li><li>Pruning</li><li>Irrigation</li></ul><p><strong>FAQ: CSU Green School</strong></p><p><strong>What’s the difference between your gardening training programs?</strong><br /><strong>Green School | Full Course:</strong> Our certifying full course includes in-depth Colorado specific horticulture training. This course includes a mix of online, self-paced classes, and optional weekly live reviews provided by CSU faculty, staff, and specialists. To obtain the certification, trainees must complete 8 online modules (including the online quiz for each module) and pass the comprehensive final (open-book, research encouraged) with a 70% or better.</p><p><strong>Green School | Short Courses:</strong> Our short courses are self-paced, online and include 5 classes grouped together by relevant topic areas including Colorado Gardening Foundations, Landscape Management Basics, Plant Diagnostics and Growing Food. There are no live weekly class reviews, but you do have direct email access to course instructors. A certificate of completion will be provided to participants upon request.</p><p><strong>Certified Gardener:</strong> The Certified Gardener program is your opportunity to learn basic gardening techniques for home and community gardeners. Classes are 100% self-paced with no assignments and no live classes. Information is relevant no matter where you live. This class is not Colorado specific. Learn more about the Certified Gardener program here: <a href=""https://www.online.colostate.edu/badges/certified-gardener/"">https://www.online.colostate.edu/badges/certified-gardener/</a></p><p><strong>How long can I access course materials online?</strong><br />You’ll have access to this Canvas site for one year from the time you enroll.</p><p>Full descriptions, syllabus and more available <a href=""http://CertifiedColoradoGardener.org"">here</a>.</p>","AGBB-2099","Join us to learn the basics from our Colorado horticulture experts through our flexible Green School program. The online class content is up-to-date, engaging, self-paced and includes integrated readings, videos, activities and quizzes. Courses are science-based and specific to Colorado’s unique (and challenging!) climate, soil, environment, insects, wildlife, and plants."
"EDLL 2100: FAA Part 107 Drone Pilot Test Prep and Ground Training","EDLL 2100","EDLL 2100","OEE","","<p>This four-day bootcamp works to assist current and aspiring drone pilots with training and licensing. The full-service program complies with FAA (Federal Aviation Administration) regulations and provides students with the theoretical and practical knowledge needed to pass the FAA Part 107 Drone Certification. The class uses interactive individual based testing and students are exposed to many practice questions and material.<br />The course is split between in-classroom and hands-on field experience, delivered by a full roster of sUAS certified pilots. These pilots have undergone certification by the FAA, field and safety training, and have real-world sUAS mission experience. Each student will have access to training with drones and will accumulate flight time during the course.<br /><i>No experience necessary.</i></p>","EDLL-2100","This four-day bootcamp works to assist current and aspiring drone pilots with training and licensing. The full-service program complies with FAA (Federal Aviation Administration) regulations and provides students with the theoretical and practical knowledge needed to pass the FAA Part 107 Drone Certification."
"GSLL 2100: Cognitive Behavioral Therapy for Insomnia For Occupational Therapy","GSLL 2100","GSLL 2100","OEE","","<p>CBTI for OT has been delivered as a 2.5 day face-to-face workshop led by CBTI for OT faculty—Aaron Eakman, Ph.D., OTR/L, FAOTA and Natalie Rolle, M.O.T., OTR/L who are established occupational therapy providers of CBTI (2). CBTI for OT online utilizes the recorded lectures from these experienced CBTI providers and covers foundational knowledge regarding sleep and insomnia, basics of CBTI delivery, and strategies to improve sleep across practice settings. Upon successful completion of the CBTI for OT online course, participants will have opportunities for peer consultation with CBTI for OT faculty and have necessary information to begin the supervised delivery of CBTI to adults. Also, after successful completion of the CBTI for OT, online course attendees will receive a certificate of completion from Colorado State University Professional Education equal to 1.6 CEUs or 16 contact hours.</p>","GSLL-2100","Our online cognitive behavioral therapy for insomnia for occupational therapists (CBTI for OT) course pairs case studies with basic knowledge and tools to help prepare the occupational therapy practitioner to begin the supervised delivery of CBTI to adults. CBTI is now recommended as the first line treatment for chronic insomnia by the American College of Physicians (1)."
"EDLL 2200: FAA Part 107 Drone Pilot Test Prep","EDLL 2200","EDLL 2200","OEE","","<p>This two-day workshop aims to assist current and aspiring drone pilots with obtaining FAA Part 107 drone pilot licensing. The course provides all the information needed to pass the FAA Part 107 Drone Certification in a two-day format. Students will be taught by licensed sUAS pilots who have real world experience on various sUAS missions and platforms. The class uses interactive, individual-based testing and students are exposed to many practice questions and material.<br /><i>This course covers the same test prep material as EDLL 2100, minus the hands-on field experience.</i></p>","EDLL-2200","This two-day workshop aims to assist current and aspiring drone pilots with obtaining FAA Part 107 drone pilot licensing. The course provides all the information needed to pass the FAA Part 107 Drone Certification in a two-day format. Students will be taught by licensed sUAS pilots who have real world experience on various sUAS missions and platforms."
"EDLL 2300: FAA Part 107 Drone Pilot Recurrent Test Prep","EDLL 2300","EDLL 2300","OEE","","<p>The FAA Part 107 Recurrent Test Prep workshop is a 1-day course aimed at pilots who have already attained their sUAS license and need to take their recurrent knowledge exam. The course provides all necessary information to pass the recurrent test and is a refresher course only. The class uses interactive individual based testing and students are exposed to many practice questions and material.</p><p><i>Students must have earned the FAA Part 107 drone pilot license prior to enrollment.</i></p>","EDLL-2300","The FAA Part 107 Recurrent Test Prep workshop is a 1-day course aimed at pilots who have already attained their sUAS license and need to take their recurrent knowledge exam. The course provides all necessary information to pass the recurrent test and is a refresher course only. The class uses interactive individual based testing and students are exposed to many practice questions and material."
"EDLL 2400: Online FAA Part 107 Drone Pilot Test Prep","EDLL 2400","EDLL 2400","OEE","","<p>This two-week online course was designed to assist current and aspiring drone pilots with FAA Part 107 test preparation. The full-service program complies with FAA (Federal Aviation Administration) regulations and provides students with the theoretical and practical knowledge needed to pass the FAA Part 107 Drone Certification. The class uses interactive individual based testing through Wooclap where students are exposed to many practice questions.</p><p>This hybrid, online course is split between student-led components, as well as six live sessions with our sUAS certified instructors who will review content and answer questions to prepare you for passing the Part 107 exam. Our instructors have undergone certification by the FAA, field and safety training, and have real-world sUAS mission experience. Each student will have access to all test prep materials and will get one-on-one attention from instructors as needed.</p><p><i>No experience necessary.</i></p>","EDLL-2400","This two-week online course was designed to assist current and aspiring drone pilots with FAA Part 107 test preparation. The full-service program complies with FAA (Federal Aviation Administration) regulations and provides students with the theoretical and practical knowledge needed to pass the FAA Part 107 Drone Certification."
"HSBB 2501: Overview of Disabilities","HSBB 2501","HSBB 2501","OEE","","<p>The <strong><em>Overview of Developmental Disabilities</em></strong> course will focus on the <strong>six</strong> most common types of Developmental Disabilities—a group of conditions due to cognitive or physical impairments affecting learning, language, or behavior.</p><p>Participants will<br />• Expand their knowledge of common developmental disabilities, including: Learning Disability, Attention Deficit Disorder, Autism Spectrum Disorder, Intellectual Disability, Sensory Processing Disorder, and Tourette Syndrome<br />• Become more informed of behaviors considered typical for each of the most common developmental disabilities<br />• Understand the importance of confidentiality, and use of person first language</p>","HSBB-2501","The <b><i>Overview of Developmental Disabilities</b></i> course will focus on the <b>six</b> most common types of Developmental Disabilities—a group of conditions due to cognitive or physical impairments affecting learning, language, or behavior."
"HSBB 2502: Disabilities and Learning","HSBB 2502","HSBB 2502","OEE","","<p>Every person has a potential to learn and we all learn differently. It is the educator's job to discover and maximize that potential. The <strong><i>Disabilities and Learning</strong></i> course teaches participants how to discover potential through focusing on visual, auditory, and kinesthetic learning styles, and the relationship between developmental disabilities and learning styles. Each learning style requires different teaching and facilitation techniques. Participants will develop an understanding of these techniques, as well as the relationship between developmental disabilities and learning styles.</p>","HSBB-2502","Every person has a potential to learn & we all learn differently. It is the educator's job to discover & maximize that potential. This course teaches participants how to discover potential through focusing on visual, auditory, & kinesthetic learning styles, & the relationship between developmental disabilities & learning styles. Instructional techniques that enhance learning will also be discussed."
"HSBB 2503: Understanding and Managing Behavior","HSBB 2503","HSBB 2503","OEE","","<p>Individuals with developmental disabilities have many strengths and abilities, but can at times exhibit challenging, problematic, or unfamiliar behaviors. Working with this clientele requires an understanding of the common triggers and meaning of challenging behaviors, and the skill set needed to manage them. To be an effective facilitator, it is critical that behavior is under control before you begin to teach or conduct a program.<strong><i>Understanding and Managing Behavior</strong></i> course focuses on understanding, managing and preventing problem behaviors.</p><p>Participants will learn<br />• What behavior is, and why problematic behavior occurs <br />• Types of problematic behavior and how to manage them<br />• Communication techniques for uncertain situations<br />• Techniques for prevention of disruptive behavior</p>","HSBB-2503","<b><i>Understanding and Managing Behavior</b></i> focuses on how individuals with developmental disabilities can at times exhibit challenging, problematic or unfamiliar behaviors, and provides those working with them a better understanding of behavior types, their common triggers, and prevention and management skills."
"HSBB 2504: The Importance of Visual Supports","HSBB 2504","HSBB 2504","OEE","","<p>There are three learning styles: Visual, Auditory and Kinesthetic. Most individuals with developmental disabilities are visual learners and they understand what they can see better than what they hear. When working with individuals with developmental disabilities, it is recommended that you use visual supports or cues to aid in communication and thus understanding.</p><p>When working with adult and/or youth audiences, it is important to understand the visual learning style as well as how and why visual supports help individuals to be more successful in the learning environment. Visual supports allow individuals to do more on their own, and can be used as prompts, helpful in managing behavior and reducing anxiety as individuals transition between activities, schedules, or settings.</p><p>Visual support refers to using a picture or other visual item to communicate with an individual who has difficulty understanding or using language. Research has shown that visual supports or cues work well as a way to communicate. Visual supports are things we SEE that enhance the communication process. Ranging from body movements to environmental cues, visual supports capitalize on a person’s ability to gain information from the sense of sight. Visual supports include the following forms:<br />• Body language (facial expressions, movement of body)<br />• Natural environmental cues (printed material such as menus or directions on packages or machines)<br />• Traditional tools for organization and for giving information (schedules, maps, assembly instructions)<br />• Specially designed tools to meet specific needs (timers, task organizers)</p>","HSBB-2504","Like many people, individuals with developmental disabilities are visual learners and learn better with visual supports. The <b><i>Visual Supports</b></i> course will provide an understanding of how and why visual supports help individuals to be more successful in the learning environment and will teach you how to create and utilize them effectivity."
"HSBB 2505: Understanding Disabilities Laws and Making Program Adaptations","HSBB 2505","HSBB 2505","OEE","","<p>When planning and delivering programming for clientele with developmental disabilities it is important for educators to understand the legal protections due to these individuals and to learn how to make the accommodations needed for successful participation.</p><p><strong><i>Disabilities Laws, Program Accommodations and Modifications</strong></i> provides information on how to make the accommodations and modifications needed for successful participation in the learning environment, and meet requirements of The American Disabilities Act, The Rehabilitation Act of 1973. Participants will also learn the difference between an accommodation and modification, and tips to help improve communication and information gathering.</p>","HSBB-2505","It is important to understand the legal rights of individuals with developmental disabilities when planning and providing educational programs. The <b><i>Disabilities Laws, Program Accommodations and Modifications </b></i>course provides information on how to make the accommodations and modifications needed for successful participation in the learning environment."
"AGLL 2701: Horticultural Entomology Introduction","AGLL 2701","AGLL 2701","OEE","","<p>AGLL 2701 is the first of three, one-credit courses that collectively cover the insects that one may commonly find feeding on plants in yards, gardens and landscape settings. Horticultural Entomology (AGLL 2701-2703) is designed to provide a firm supporting background in entomology for students pursuing degrees in horticultural programs. However, these courses are also aimed to provide a means of continuing education for those already professionally involved in plant protection. This course should also be of interest to most anyone who has an interest in plants and their care, and would like to learn more about the insects found in yards and gardens and to learn about their management.</p><p>Learning Objectives:</p><p>In AGLL 2701 (Horticultural Entomology Introduction) fundamental entomology principles are covered. This includes basics of insect/mite life history (life cycles, development), features that define insects and other arthropods, insect identification (adults and immatures) to the order level, and an exposure to reference sources that can allow further specialization. Students will also become familiar with basic concepts used to manage insects with strong emphasis on understanding the principles underlying Integrated Pest Management, and how to apply them.</p><p>This is a four-week asynchronous course. There is no official meeting time and during the week students are able to set their own schedule of class participation. All lectures, quizzes, recommended readings, and weekly project assignments will be released at the beginning of this course. Due dates of assignments will be staggered with all to be completed by the end of this course.</p><p>Topics to be covered include:</p><ul><li>Section One: Introduction to Arthropods, External Features of Insects, Insect Development and Metamorphosis, Arachnid Features</li><li>Section Two: Introduction to Taxonomy, Learning the Insect Orders</li><li>SectionThree: Natural Enemies of Insects (Predators, Parasitoids, Hunting Wasps, Insect pathogens)</li><li>Section Four: Introduction to IPM Principles, Cultural and Mechanical Controls, Attractants and Repellents, Biological Control, Bees</li><li>ection Five: An Introduction to Insecticides, Natural Products/“Organic” Insecticides, Major Insecticide Classes and Features</li></ul><p>Additional courses in this series are AGLL 2702 (Horticultural Entomology: Food Crops) and AGLL 2703 (Horticultural Entomology: Landscape Plants), which are offered sequentially. AGLL 2701 is required to enroll in these other courses.</p>","AGLL-2701","Basic biology, identification and management of insects and mites affecting horticultural crops."
